Designation,ra,dec,type,confidence,variability_snr,W1_amp,W2_amp,n_obs,W1mag,W2mag,W3mag,W4mag,Jmag,Hmag,Kmag,W1emag,W2emag,W3emag,W4emag,Jemag,Hemag,Kemag,Gmag,Gemag,BPmag,BPemag,RPmag,RPemag,period1,period2,period_significance,suspect_period,known_extragalactic,simbad_type,Plx,e_Plx,A0,AG,E(BP-RP),G_absmag,blended_source?,latent_artifact?,cluster_id
VarWISE J063856.37+204021.7,99.73488,20.6727,cep,0.9939,5.92,0.081,0.086,259,10.184,10.201,10.17,8.42,10.79,10.42,10.32,0.02,0.02,0.11,,0.02,0.02,0.02,11.610021,0.003006,11.768084,0.004305,11.302157,0.006622,6.10335,12.20615,15.291,False,False,SB*,0.6309,0.0213,,,,,0.04,0.16,1686333318213833752
VarWISE J061158.87+175658.2,92.99531,17.9495,cep,0.6205,25.106,0.324,0.326,238,9.247,9.127,8.72,6.95,10.82,9.92,9.44,0.02,0.02,0.09,,0.02,0.03,0.02,14.666761,0.002962,16.499449,0.006555,13.378377,0.004867,37.07,343.5,21.5,False,False,,0.2559,0.0309,7.1438,5.2463,3.0005,1.5174751,0.04,0.5,1686613662473322105
VarWISE J060309.85+200452.6,90.79106,20.0813,cep,0.9996,10.596,0.125,0.139,242,10.177,10.072,10.14,9.07,11.34,10.66,10.37,0.02,0.02,0.07,,0.02,0.02,0.02,14.578293,0.007831,15.923961,0.027797,13.437407,0.020087,2.1345,4.26905,49.084,False,False,ClassicalCep,0.1905,0.023,,,,,0.04,0.24,1687176242623327027
VarWISE J062034.02+220741.1,95.14178,22.1281,cep,0.9999,23.463,0.387,0.333,178,11.152,11.092,10.74,8.75,12.42,11.82,11.52,0.03,0.04,0.14,0.47,0.02,0.03,0.02,14.607244,0.017054,15.458712,0.057107,13.691992,0.046651,13.4495,20.1715,26.239,False,False,Type2Cep,0.0816,0.0311,,,,,0.04,0.09,1688302872456485695
VarWISE J061722.91+222510.5,94.34548,22.4196,cep,0.8957,19.114,0.379,0.772,241,11.819,11.873,11.25,8.58,12.8,12.34,12.16,0.02,0.03,,,0.02,0.03,0.02,14.785254,0.002778,15.401608,0.003944,14.002494,0.004085,51.37,204.5,34.437,False,False,,0.5353,0.0256,2.9771,2.5414,1.3847,3.8406591,0.04,0.04,1688302738859511772
VarWISE J064323.45+203646.7,100.84773,20.613,cep,0.8088,9.839,0.176,0.162,261,12.046,11.977,12.07,8.72,12.84,12.29,12.12,0.02,0.02,,,0.02,0.03,0.02,14.381063,0.006467,14.848097,0.01746,13.728587,0.022248,10.9967,3.66575,13.715,False,False,RSCVnV*,0.4148,0.0281,0.8066,0.668,0.364,3.4905605,0.04,0.05,1688866779701089902
VarWISE J051847.98+135912.1,79.69992,13.9867,cep,0.9996,11.715,0.137,0.141,273,8.75,8.705,8.67,8.39,9.61,9.12,8.92,0.02,0.02,0.03,0.37,0.02,0.02,0.02,11.602828,0.006338,12.339396,0.021019,10.739833,0.015153,5.0659,10.13175,26.446,False,False,ClassicalCep,0.2117,0.0252,,,,,0.04,0.04,1695055681176705349
VarWISE J052706.49+165611.0,81.77705,16.9364,cep,0.9997,10.752,0.156,0.158,253,10.457,10.42,10.55,8.22,11.23,10.73,10.63,0.02,0.02,0.12,,0.02,0.02,0.02,12.683438,0.008754,13.233445,0.032673,11.975876,0.019029,4.4388,8.8776,37.047,False,False,ClassicalCep,0.0888,0.0176,,,,,0.04,0.18,1698433729376757259
VarWISE J054703.01+174447.4,86.76257,17.7465,cep,0.9886,5.348,0.092,0.113,226,11.927,11.907,11.8,9.03,12.44,12.12,12.01,0.02,0.02,0.28,,0.02,0.02,0.02,14.038447,0.007061,14.524747,0.024699,13.380733,0.015331,1.579275,0.78965,19.227,False,False,ClassicalCep,0.0805,0.0195,,,,,0.04,0.1,1698997515775051367
VarWISE J055734.40+194911.6,89.39334,19.8199,cep,0.9999,11.307,0.158,0.153,207,10.219,10.156,10.31,8.77,11.02,10.52,10.33,0.02,0.02,0.08,,0.02,0.02,0.02,13.482938,0.017173,14.313793,0.069243,12.533804,0.042203,2.843675,5.6874,43.98,False,False,ClassicalCep,0.1185,0.0179,,,,,0.04,0.34,1699279432109962601
VarWISE J054331.79+192512.0,85.88248,19.42,cep,0.9974,10.138,0.115,0.121,226,10.211,10.172,10.01,8.72,11.03,10.53,10.37,0.02,0.02,0.06,,0.02,0.02,0.02,12.866959,0.009102,13.394568,0.028009,12.030165,0.020223,3.448225,6.89635,29.124,False,False,ClassicalCep,0.5115,0.14,1.4883,1.1899,0.6542,4.051998,0.04,0.07,1699560318055400712
